"longname","name","sentencename","slug","regionslug","lowincome","P20pop","PercentinP20","MaximumIncomeConsumptionNP20","NationalP20Average","NationalRestAverage","GapBetweenNP20Rest2013","minimumincome","growinggap","stuntingtrends","birthregtrends","birthregtrends1","gap_1999","gap_2013","Year","nationalstunting","nationalP20stunting","restP20stunting","NP20Reg","restreg","SecondaryCompletion","nateducYear","p20educYear","secondarycompletionP20","secondarycompletionrest"
"Ghana","Ghana","Ghana","ghana","Africa",TRUE,5692970.2,21.6052,2.44,1.68791758,7.4533904680137,5.7654728880137,1.32,"increasing","decreasing","increased","increasing",3.02676956575342,5.7654728880137,2014,18.8,24.8,17,58,74.75,54.3196182250977,2010,2015,27.23201,58.4700125
"Greece","Greece","Greece","greece","Europe",FALSE,187874.414,1.71262,9.98,6.35303846,25.2847129877397,18.9316745277397,4.48,"increasing","",,"",21.9365056335616,18.9316745277397,,,,,,,69.1706924438477,2015,,,
"Grenada","Grenada","Grenada","grenada","LAC",TRUE,,,,,,,,,,,,,,,,,,,,,,,,
"Guadeloupe","Guadeloupe","Guadeloupe","guadeloupe","LAC",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
"Guatemala","Guatemala","Guatemala","guatemala","LAC",TRUE,2628147.6,16.8471,2.81,1.88302034,10.550340805411,8.667320465411,1.46,"increasing","decreasing","decreased","decreasing",10.6493837917808,8.667320465411,2015,46.7,66.4,39.6,,,36.7942085266113,2014,2015,14.80672,55.0282825
"Guinea","Guinea","Guinea","guinea","Africa",TRUE,6294619.94,54.5461,1.48,1.10190514,3.37085933143836,2.26895419143836,0.92,"increasing","decreasing","increased","increasing",2.2982641119863,2.26895419143836,2016,32.4,,,38,65.5,11.68274974823,2010,2012,5.72158,23.0624675
"Guinea-Bissau","Guinea-Bissau","Guinea-Bissau","guinea-bissau","Africa",TRUE,1301786.64,77.4873,0.77,0.51807448,2.75620603753425,2.23813155753425,0.41,"decreasing","decreasing","decreased","decreasing",1.78149130368151,2.23813155753425,2014,27.6,30.7,26.7,13,28.75,,,2014,3.35274,18.1425025
"Guyana","Guyana","Guyana","guyana","LAC",TRUE,87898.56,11.5656,3.66,2.27837745,12.0495563224315,9.7711788724315,1.57,"increasing","decreasing","decreased","decreasing",6.67131795804795,9.7711788724315,2014,11.3,20.4,7.5,84,91.25,31.1933898925781,2002,2014,68.75449,87.602165
"Haiti","Haiti","Haiti","haiti","LAC",TRUE,3739520.05,35.8535,1.74,1.21370046,5.17387625486301,3.96017579486301,0.98,"increasing","decreasing","stayed constant","about.the.same",3.2697522452911,3.96017579486301,2012,22,31.2,19,71,83.75,,,2012,7.01558,35.2864775
"Honduras","Honduras","Honduras","honduras","LAC",TRUE,2193517.38,25.3293,2.09,1.281591135,9.63775290118151,8.35616176618151,0.88,"increasing","decreasing","stayed constant","about.the.same",7.08388111618151,8.35616176618151,2012,22.6,42,16.1,92,94.25,32.4401893615723,2014,2013,28.06,55.3325
"Hungary","Hungary","Hungary","hungary","Europe",FALSE,24133.3802,0.244018,10.5,7.319487,22.4146898938356,15.0952028938356,5.64,"increasing","",,"",8.1672619730308,15.0952028938356,,,,,,,96.7666091918945,2015,,,
"Iceland","Iceland","Iceland","iceland","Europe",FALSE,0,0,29.75,23.45498925,53.6020061121575,30.1470168621575,20.75,"increasing","",,"",29.3856513538099,30.1470168621575,,,,,,,95.8437881469727,2005,,,
"India","India","India","india","Asia",TRUE,471095660.48,36.8458,2.02,1.61854015,4.5779950994863,2.9594549494863,1.58,"increasing","decreasing","increased","increasing",1.87970721952055,2.9594549494863,2015,37.9,50.7,33.6,57,,37.5658302307129,2011,2016,59.13855,86.4892625
"Indonesia","Indonesia","Indonesia","indonesia","Asia",TRUE,65173193.79,25.8593,2.32,1.87963384,6.13999564958904,4.26036180958904,1.66,"increasing","increasing","increased","increasing",1.74467331763699,4.26036180958904,2013,36.4,,,,,48.8020706176758,2015,2008,39.39528,76.68791
"Iran (Islamic Republic of)","Iran","Iran","iran","Asia",TRUE,328513.6448,0.424217,7.63,5.636315335,19.3296745909075,13.6933592559075,4.66,"increasing","",,"",10.2950983880137,13.6933592559075,2011,6.8,,,,,68.479850769043,2014,,,
"Iraq","Iraq","Iraq","iraq","Asia",TRUE,2449798.428,7.23081,3.41,2.66592777,6.90909339996575,4.24316562996575,2.31,"increasing","",,"",3.97317633527397,4.24316562996575,2011,22.1,24.4,21.3,98,99.75,44.131908416748,2013,2011,14.52499,42.2909025
"Ireland","Ireland","Ireland","ireland","Europe",FALSE,34086.46,0.74101,22,15.687485,49.5631972431507,33.8757122431507,13.75,"increasing","",,"",28.1818457641267,33.8757122431507,,,,,,,83.4697036743164,2011,,,
"Israel","Israel","Israel","israel","Asia",FALSE,54077.764,0.67094,12,7.831464,39.3282983835616,31.4968343835616,5.75,"increasing","",,"",22.1806565111301,31.4968343835616,,,,,,,89.1813583374023,2015,,,
"Italy","Italy","Italy","italy","Europe",FALSE,1049429.451,1.74237,19.5,12.324975,46.3480713184932,34.0230963184932,8.29,"increasing","",,"",33.7983889148116,34.0230963184932,,,,,,,78.4582595825195,2015,,,
"Jamaica","Jamaica","Jamaica","jamaica","LAC",TRUE,139742.91,4.90326,4.23,3.0522411,13.6886794510274,10.6364383510274,2.52,"increasing","increasing","increased","increasing",10.1110588767123,10.6364383510274,2014,6.2,,,99,99.5,60.715030670166,2011,2011,90.43446,98.2150075
"Japan","Japan","Japan","japan","Asia",FALSE,443441.883,0.347934,22.75,15.6009035,49.0464864537671,33.4455829537671,12,"increasing","",,"",29.1565424464897,33.4455829537671,,,,,,,,,,,
"Jordan","Jordan","Jordan","jordan","Asia",TRUE,89853.281,1.06841,5.29,4.15866473,11.6419091599658,7.4832444299658,3.69,"increasing","decreasing",,"",6.27428059760274,7.4832444299658,2012,7.8,14,5.9,,,74.1112213134766,2010,2007,75.31069,91.2275425
"Kazakhstan","Kazakhstan","Kazakhstan","kazakhstan","Asia",TRUE,12290.40672,0.0721268,7.26,5.96215521,13.7026118824315,7.7404566724315,5.38,"increasing","decreasing","stayed constant","about.the.same",4.83783193253425,7.7404566724315,2015,8,10.3,7.4,99,100,95.2772979736328,2009,2015,99.33318,99.82928
"Kenya","Kenya","Kenya","kenya","Africa",TRUE,21959213.39,48.9833,1.4,0.9560096,4.86157294246575,3.90556334246575,0.74,"decreasing","decreasing","increased","increasing",3.65006310428082,3.90556334246575,2014,26.2,36,23.1,52,72.5,29.0737495422363,2010,2014,41.72228,76.9637875
"Kiribati","Kiribati","Kiribati","kiribati","Oceania",TRUE,26745.73,24.3143,2.29,1.613482475,5.71457458672945,4.10109211172945,1.32,"decreasing","",,"",4.30473533364726,4.10109211172945,,,,,93,93.75,,,,,
"Kosovo","Kosovo","Kosovo","kosovo","Europe",TRUE,19479.642,1.07031,5.25,4.107539625,9.56977262799657,5.46223300299657,3.6,"increasing","",,"",2.93960590607877,5.46223300299657,,,,,,,,,,,
"Kuwait","Kuwait","Kuwait","kuwait","Asia",FALSE,,,,,,,,,,,,,,2015,4.9,,,,,55.8721008300781,2015,,,
